ACCIDENT_NO,LATITUDE,LONGITUDE,LOCATION
T20220000581,-37.396502,144.977793,MITCHELL
T20220000588,-38.387319,144.888535,MORNINGTON PENINSULA
T20220001218,-37.785958,145.319571,YARRA RANGES
T20220000925,-37.871992,144.98944,PORT PHILLIP
T20220000584,-38.513675,143.413561,COLAC OTWAY
T20220000541,-36.549458,145.983931,BENALLA
T20220000532,-37.564002,143.855882,BALLARAT
T20220000550,-38.392863,142.791967,MOYNE
T20220000551,-36.743134,144.319376,GREATER BENDIGO
T20220000662,-37.878331,145.079837,STONNINGTON
T20220000737,-38.09175,141.657112,GLENELG
T20220000624,-37.662793,144.43995,MOORABOOL
T20220000621,-37.65253,145.376271,YARRA RANGES
T20220000718,-37.789653,145.309696,YARRA RANGES
T20220000614,-36.76004,144.227707,GREATER BENDIGO
T20220000606,-36.776286,144.289382,GREATER BENDIGO
T20220000631,-37.806101,144.944745,MELBOURNE
T20220000636,-37.605304,143.887886,BALLARAT
T20220000611,-37.692,144.92953,HUME
T20220000610,-37.597068,144.92379,HUME
T20220000602,-34.182491,142.148936,MILDURA
T20220000616,-37.790054,145.30875,YARRA RANGES
T20220000592,-36.9852,145.142259,MITCHELL
T20220000673,-38.188762,145.251484,CASEY
T20220000667,-38.443632,143.980599,SURF COAST
T20220000693,-37.876709,145.149486,MONASH
T20220000717,-38.035429,145.106664,KINGSTON
T20220000694,-38.05775,145.29012,CASEY
T20220001016,-37.825498,144.941068,MELBOURNE
T20220000715,-37.658845,144.910065,HUME
T20220000669,-36.739024,142.117303,HORSHAM
T20220000691,-37.904919,145.112128,MONASH
T20220000684,-38.119559,145.125087,FRANKSTON
T20220000646,-37.595792,144.88115,HUME
T20220001120,-37.89223,145.193896,MONASH
T20220000703,-37.845511,144.978926,PORT PHILLIP
T20220000677,-37.71703,145.125248,BANYULE
T20220000678,-37.606556,144.928587,HUME
T20220000666,-37.787459,144.921309,MELBOURNE
T20220000799,-37.734303,144.780997,BRIMBANK
T20220000704,-37.959593,144.685529,WYNDHAM
T20220000681,-37.795853,144.904137,MARIBYRNONG
T20220000705,-37.9655,145.205199,GREATER DANDENONG
T20220000917,-38.109372,145.252399,CASEY
T20220000707,-37.867346,144.734534,WYNDHAM
T20220000671,-37.892789,143.364041,CORANGAMITE
T20220000699,-37.810359,145.151708,WHITEHORSE
T20220000680,-37.972806,145.115925,KINGSTON
T20220004642,-36.761424,144.283385,GREATER BENDIGO
T20220000651,-38.184174,144.470812,GREATER GEELONG
T20220000696,-37.811822,145.00041,YARRA
T20220000670,-37.859726,144.98387,PORT PHILLIP
T20220000748,-38.392333,143.270683,CORANGAMITE
T20220002872,-37.539556,143.831425,BALLARAT
T20220000753,-38.264241,143.905768,SURF COAST
T20220000719,-37.752297,145.076397,BANYULE
T20220000720,-37.868478,145.031261,GLEN EIRA
T20220000722,-37.834865,145.195209,WHITEHORSE
T20220000725,-37.750407,145.168884,MANNINGHAM
T20220000727,-37.752322,145.307087,YARRA RANGES
T20220000734,-37.904307,147.697974,EAST GIPPSLAND
T20220000735,-38.206094,146.166229,BAW BAW
T20220000738,-36.532591,145.498295,GREATER SHEPPARTON
T20220000746,-37.936673,145.491516,CARDINIA
T20220000747,-37.716225,144.828425,BRIMBANK
T20220000751,-35.068263,142.349589,MILDURA
T20220000752,-37.876764,145.21535,KNOX
T20220000793,-37.79012,144.937584,MELBOURNE
T20220000754,-36.30936,146.615268,WANGARATTA
T20220000755,-38.026044,145.250341,CASEY
T20220000762,-36.13946,146.948699,WODONGA
T20220000764,-38.271506,145.070904,MORNINGTON PENINSULA
T20220002752,-38.637329,145.60396,BASS COAST
T20220001447,-38.04665,145.11325,KINGSTON
T20220019095,-38.379258,144.796616,MORNINGTON PENINSULA
T20220003209,-38.15837,145.135209,FRANKSTON
T20220001522,-37.996872,145.21874,GREATER DANDENONG
T20220000724,-37.606259,143.930833,MOORABOOL
T20220003339,-37.961557,145.361345,YARRA RANGES
T20220002472,-38.211089,144.310574,GREATER GEELONG
T20220007090,-37.751499,144.964823,MERRI-BEK
T20220000765,-37.945212,145.479181,CARDINIA
T20220000767,-38.213663,145.109199,MORNINGTON PENINSULA
T20220000768,-37.835054,145.172627,WHITEHORSE
T20220000769,-37.68949,144.749454,MELTON
T20220000772,-37.826996,144.817865,WYNDHAM
T20220000823,-37.951776,144.688004,WYNDHAM
T20220000779,-38.225323,146.464703,LATROBE
T20220000773,-37.844771,144.651361,WYNDHAM
T20220000844,-37.711175,144.888657,MOONEE VALLEY
T20220000831,-37.691796,144.981607,WHITTLESEA
T20220001267,-37.817955,145.217419,MAROONDAH
T20220000806,-37.828994,144.848623,HOBSONS BAY
T20220000864,-37.570955,143.819968,BALLARAT
T20220000790,-37.655162,145.021484,WHITTLESEA
T20220000802,-37.859872,144.747732,WYNDHAM
T20220000796,-38.210086,146.151891,BAW BAW
T20220000817,-36.759549,144.295381,GREATER BENDIGO
T20220000815,-37.935264,145.959927,BAW BAW
T20220000832,-37.844752,145.003878,STONNINGTON
T20220000839,-38.068971,145.170295,GREATER DANDENONG
T20220000783,-37.758342,145.1234,MANNINGHAM
T20220000770,-38.190987,142.781185,MOYNE
T20220006009,-37.764039,144.960349,MERRI-BEK
T20220000967,-37.733312,144.958038,MERRI-BEK
T20220005209,-38.152966,145.894113,BAW BAW
T20220000807,-38.131511,144.344739,GREATER GEELONG
T20220000788,-37.657465,144.926403,HUME
T20220000776,-37.919884,145.135759,MONASH
T20220000850,-38.075205,144.360059,GREATER GEELONG
T20220000838,-36.629062,144.531497,GREATER BENDIGO
T20220000794,-38.102178,145.140971,FRANKSTON
T20220000837,-37.7793,144.77881,BRIMBANK
T20220000834,-38.069428,145.411527,CARDINIA
T20220000923,-37.945875,145.139582,GREATER DANDENONG
T20220001237,-37.697835,145.058832,WHITTLESEA
T20220000833,-37.932838,145.440775,CARDINIA
