ACCIDENT_NO,LATITUDE,LONGITUDE
T20220011133,-37.703505,144.801358
T20220004911,-36.309084,146.61324
T20220000932,-37.819018,145.003568
T20220002794,-36.738234,145.933097
T20220020766,-37.88686,145.623923
T20220008176,-37.702052,144.802144
T20220000950,-37.826393,145.019249
T20220000949,-37.706302,144.928599
T20220000947,-38.069651,145.41287
T20220000946,-38.076896,145.25872
T20220000943,-37.754399,144.955284
T20220000955,-36.446464,147.014586
T20220001002,-37.638116,145.042527
T20220000991,-37.582548,144.939523
T20220000994,-37.993394,145.106647
T20220005069,-37.847867,145.229119
T20220000995,-37.90765,145.07012
T20220000997,-36.211178,144.24858
T20220001010,-37.693318,144.604289
T20220001170,-38.114068,146.66785
T20220000969,-37.473781,144.974572
T20220001008,-37.971701,145.107005
T20220001013,-37.832227,144.989437
T20220001057,-37.75839,145.316243
T20220000998,-37.818362,145.104249
T20220001043,-38.184627,144.684013
T20220001005,-37.787453,144.921418
T20220006160,-38.08229,145.276589
T20220001045,-37.837286,145.217775
T20220001083,-37.822088,147.856491
T20220001001,-37.758954,145.32082
T20220001012,-37.690734,144.971963
T20220000976,-38.073364,144.363389
T20220005849,-37.591024,144.182479
T20220001015,-37.80983,144.978332
T20220001011,-37.82841,144.947927
T20220000984,-37.754278,145.066853
T20220001508,-38.372988,144.824287
T20220000989,-37.870658,145.00861
T20220001556,-37.816814,144.850051
T20220001888,-38.370289,144.908636
T20220016960,-37.700199,144.924153
T20220001059,-37.657727,144.230492
T20220001054,-37.762176,145.356355
T20220001049,-37.347761,144.781483
T20220001193,-38.088032,145.501897
T20220001421,-37.798398,145.253149
T20220001078,-37.874432,144.77943
T20220001086,-37.033432,143.751235
T20220001090,-37.791729,144.891307
T20220001065,-37.779622,144.99695
T20220001069,-37.97149,145.186258
T20220001068,-37.549683,143.85702
T20220005502,-37.800557,145.263455
T20220001062,-37.912847,145.124556
T20220001060,-38.063739,147.084551
T20220001046,-37.967244,145.057688
T20220001047,-37.745853,144.92611
T20220001094,-37.888565,145.294865
T20220001096,-37.764828,144.943766
T20220001077,-37.980426,145.127554
T20220001081,-37.811199,145.007033
T20220001091,-38.381218,143.257852
T20220001071,-38.617423,142.95141
T20220001813,-37.861975,145.067428
T20220001135,-37.19126,145.721923
T20220001132,-37.911252,145.122327
T20220001039,-37.752406,145.174357
T20220001127,-37.777661,144.833371
T20220001035,-36.238879,145.506875
T20220001032,-37.951406,145.149812
T20220001111,-38.064353,145.301077
T20220001110,-36.715561,146.942458
T20220001025,-38.148528,144.358629
T20220001085,-37.867169,144.981225
T20220001033,-37.706974,145.027837
T20220003003,-37.81368,145.124774
T20220001021,-37.853618,147.605601
T20220001020,-38.036849,145.247717
T20220006695,-37.779111,144.997044
T20220001058,-37.692191,144.949059
T20220001018,-37.908089,144.636116
T20220001164,-37.914457,145.127404
T20220001162,-37.896844,145.104243
T20220001160,-38.281771,143.507919
T20220001258,-37.699725,144.792631
T20220001742,-37.842989,144.985576
T20220001157,-38.056439,145.243723
T20220001154,-37.876309,144.608243
T20220001152,-37.686133,144.926826
T20220001148,-37.733957,144.883167
T20220001147,-37.812842,145.081344
T20220001145,-38.111835,145.283103
T20220001136,-38.123839,145.147786
T20220002707,-37.739944,144.999289
T20220002225,-37.971033,145.223284
T20220001131,-38.20176,144.440842
T20220001128,-37.896207,145.143855
T20220003841,-36.186789,146.137597
T20220001305,-37.79227,144.958493
T20220001126,-37.880718,145.165617
T20220001124,-38.149256,145.1967
T20220001122,-36.782483,144.244225
T20220002039,-37.894919,145.130037
T20220001118,-37.959028,145.053065
T20220001117,-37.766009,145.002588
T20220003858,-37.823422,144.73031
T20220003658,-37.675868,144.59398
T20220001729,-37.69481,145.011326
T20220001133,-38.16271,144.35365
T20220001109,-37.986215,145.02589
T20220001108,-37.597695,144.929663
T20220002180,-37.865321,144.990911
T20220001353,-37.897447,145.065051
T20220001103,-38.057187,145.394363
T20220001100,-37.959106,144.574864
T20220008862,-38.042613,145.252305
T20220001572,-36.681105,144.276209
T20220001243,-37.73042,148.095694
T20220001264,-38.352644,141.60606
T20220001197,-37.855829,145.116712
T20220001241,-37.762201,145.762009
T20220002363,-37.78785,145.548853
T20220001517,-37.696932,144.77817
T20220001166,-36.478468,143.949967
T20220003666,-38.121768,145.135032
T20220004829,-36.254457,147.081278
T20220001181,-37.781752,144.870395
T20220001167,-37.895197,145.14404
T20220001844,-38.08716,145.502201
T20220001230,-37.746264,144.97741
T20220001817,-37.687577,144.567553
T20220007809,-37.752087,145.048606
T20220003312,-37.808882,144.966304
T20220001513,-38.176332,144.597848
T20220001694,-37.807462,145.028722
T20220001978,-38.075637,145.71501
T20220001306,-37.859129,144.899629
T20220001309,-37.791236,144.889674
T20220001225,-38.37654,142.483961
T20220001216,-36.801112,145.12421
T20220001209,-38.160974,144.362927
T20220001204,-37.900433,145.011875
T20220001200,-37.926809,145.028552
T20220001192,-38.056249,141.689776
T20220001189,-37.68665,145.067512
T20220001318,-38.17935,143.515749
T20220001290,-37.818881,145.269091
T20220001339,-38.38972,142.823234
T20220001247,-37.871846,145.017726
T20220001473,-37.899397,145.055125
T20220001257,-37.750534,145.371619
T20220001262,-37.608953,144.464791
T20220001327,-36.418643,145.295452
T20220001326,-37.686922,144.93322
T20220001324,-37.065031,144.222158
T20220001321,-37.641901,145.070101
T20220002477,-37.575782,144.907521
T20220001260,-38.016896,145.0945
T20220001320,-37.804991,144.99213
T20220001263,-38.315701,142.400407
T20220001930,-37.895707,144.989927
T20220001315,-37.816385,144.955727
T20220001311,-37.874011,145.064387
T20220001249,-37.46444,143.582604
T20220001310,-36.773247,144.305216
T20220001636,-37.732805,142.009609
T20220001298,-37.750605,145.371658
T20220001296,-37.877961,144.687304
T20220001269,-37.732072,144.665094
T20220001276,-38.14676,144.347125
T20220001279,-38.150747,144.36481
T20220001280,-34.24733,142.205717
T20220001887,-38.109975,147.06825
T20220001283,-38.370096,145.67014
T20220002052,-37.862098,144.984657
T20220001487,-37.91776,145.236648
T20220001256,-38.189576,145.120545
T20220001239,-37.610201,144.927883
T20220001289,-36.295338,146.706473
T20220001593,-37.877258,145.035371
T20220001248,-38.084693,147.011313
T20220001293,-38.229405,145.18086
T20220002362,-37.887641,144.640316
T20220001569,-37.744233,144.799942
T20220001288,-37.730547,144.794542
T20220001331,-37.557883,145.0316
T20220001386,-38.119541,144.353675
T20220001939,-37.7518,145.001733
