ACCIDENT_NO,LATITUDE,LONGITUDE
T20220022621,-38.135982,145.128886
T20220022697,-37.614758,143.898322
T20220022799,-37.766259,144.74281
T20220022630,-37.926852,145.105307
T20220022576,-37.717934,144.835111
T20220022609,-37.87069,144.598638
T20220023723,-37.834762,144.987263
T20220022603,-37.698675,144.78683
T20220022597,-35.338838,143.558063
T20220022663,-37.733442,144.959459
T20220022607,-37.68809,144.421906
T20220023988,-37.892974,145.130661
T20220024732,-37.696049,144.610618
T20220022581,-37.849961,144.833819
T20220022590,-37.880551,145.165649
T20220022632,-38.02514,145.317555
T20220022635,-37.662134,145.515871
T20220026847,-38.033732,145.228576
T20220022638,-38.004836,145.409549
T20220022639,-37.816736,144.969903
T20220028235,-37.697084,144.779514
T20220022589,-38.372233,144.818422
T20220022640,-38.213115,142.238225
T20220022620,-37.571229,144.121465
T20220022645,-37.938413,145.060912
T20220022595,-38.180674,144.347985
T20220022628,-37.570987,144.120023
T20220022646,-38.137262,145.354628
T20220022622,-37.720657,144.770113
T20220022629,-38.066156,145.122231
T20220022584,-36.802141,144.242569
T20220026975,-38.608453,145.591814
T20220022569,-38.224004,145.217693
T20220026984,-37.893372,144.674877
T20220022572,-37.96003,145.019381
T20220022623,-37.690416,144.975001
T20220022647,-37.850532,144.706348
T20220023191,-37.741968,144.77946
T20220022601,-37.623893,144.924201
T20220022657,-37.891116,145.143539
T20220022780,-35.997641,141.456218
T20220022655,-37.637711,144.923852
T20220023352,-38.230983,145.79208
T20220022674,-37.721667,145.773409
T20220022654,-37.76149,144.968711
T20220022661,-37.798265,144.659888
T20220023276,-37.893494,145.02072
T20220022714,-37.427295,143.894195
T20220023077,-37.754794,144.826612
T20220024670,-37.210538,145.427898
T20220022673,-37.656367,145.020393
T20220023033,-37.741314,144.966597
T20220022706,-37.668582,144.885638
T20220022722,-36.389242,145.410591
T20220022723,-37.870651,144.657521
T20220022729,-38.109301,145.195528
T20220022671,-37.873741,144.381835
T20220022670,-37.773382,145.112222
T20220022668,-38.07206,144.372804
T20220022702,-38.171324,144.29105
T20220022699,-38.17756,145.165375
T20220022696,-37.857803,145.113601
T20220022695,-37.799122,145.030317
T20220022694,-37.657982,145.077213
T20220022693,-38.353274,144.914092
T20220022685,-38.265079,145.072905
T20220027883,-37.756075,144.908432
T20220022684,-37.923968,145.202294
T20220022683,-37.828959,144.948439
T20220022681,-37.862398,144.747944
T20220022989,-36.79167,144.275134
T20220022678,-36.105015,146.825912
T20220022881,-36.989115,143.377828
T20220022675,-37.699669,145.00495
T20220022676,-37.928718,145.120312
T20220022759,-38.221176,141.438048
T20220022760,-37.702673,143.074464
T20220023983,-37.773804,145.275672
T20220024971,-37.847721,144.979732
T20220022717,-38.520969,143.718773
T20220022719,-37.598037,144.932941
T20220023297,-37.715563,144.780603
T20220023202,-36.197015,146.578951
T20220023596,-37.794053,144.988212
T20220022782,-37.896381,145.621587
T20220022721,-36.769954,144.250267
T20220022979,-34.17953,142.163616
T20220024387,-37.859934,145.028744
T20220024506,-37.449025,144.564583
T20220022709,-37.815493,144.96654
T20220022725,-37.819912,145.119218
T20220022963,-37.874509,145.166788
T20220022730,-38.028308,145.268815
T20220022732,-37.828504,145.174012
T20220022737,-37.385498,144.526213
T20220022741,-38.308744,145.196275
T20220023526,-37.830415,145.425159
T20220022748,-37.815103,144.96636
T20220022749,-38.3499,143.581719
T20220022751,-37.834847,147.603674
T20220022753,-37.176934,148.831609
T20220022755,-36.456995,145.388789
T20220022758,-37.786554,144.86443
T20220022761,-37.819613,144.960017
T20220023735,-37.852119,145.132353
T20220024040,-37.852506,145.052831
T20220022903,-38.242009,145.058857
T20220026324,-37.823413,144.730062
T20220022885,-37.852757,144.999979
T20220023406,-37.754642,145.069974
T20220022781,-37.777602,144.970796
T20220022785,-37.797757,145.12696
T20220022786,-38.35936,143.104556
T20220022790,-38.284669,145.154427
T20220022792,-37.692273,144.986342
T20220022804,-38.11581,144.653889
T20220022805,-38.132065,145.930936
T20220022807,-37.827184,144.949881
T20220022808,-38.096432,144.331759
T20220022812,-36.769294,144.250035
T20220022814,-38.196673,144.318513
T20220022815,-37.933886,145.190859
T20220022818,-37.868048,145.271847
T20220022820,-37.664494,144.928319
T20220022822,-37.897833,145.221765
T20220022823,-37.337132,144.463673
T20220022843,-37.805499,144.767518
T20220023275,-38.076281,145.414139
T20220027493,-37.871278,144.744898
T20220023956,-37.928401,145.117746
T20220024158,-38.021308,145.31294
T20220026406,-36.769124,144.292096
T20220022862,-38.221813,146.041172
T20220023341,-37.941155,145.199934
T20220023111,-37.872084,145.048922
T20220022858,-37.587397,143.825988
T20220023200,-38.096421,144.34827
T20220022829,-37.945084,145.47071
T20220022836,-37.648228,145.06914
T20220022830,-37.68611,144.926639
T20220023196,-37.882401,145.090366
T20220022767,-37.879236,144.735772
T20220026040,-37.801894,144.95816
T20220024016,-37.960497,145.136581
T20220024210,-38.150984,145.119608
T20220024376,-37.838893,144.99087
T20220022768,-37.762117,145.166804
T20220022825,-34.187093,142.157985
T20220022826,-37.3389,142.900451
T20220022774,-37.680885,144.916684
T20220024373,-38.196991,144.342015
T20220022776,-37.994081,145.237136
T20220022764,-37.809012,144.848127
T20220022795,-37.692181,144.95865
T20220022923,-38.16837,144.330706
T20220023256,-37.783793,144.890917
T20220022866,-38.147621,145.193296
T20220022871,-37.886152,145.078359
T20220022921,-38.170797,144.325543
T20220022937,-38.35862,142.870155
T20220022919,-36.294394,145.04982
T20220022911,-37.558475,144.184052
T20220022840,-37.84734,144.994053
T20220022904,-37.650688,145.075878
T20220022832,-38.14439,144.356935
T20220023222,-37.709373,144.601295
T20220022933,-36.360964,142.40717
T20220022902,-37.064174,142.765048
T20220023501,-37.592756,143.84112
T20220022899,-37.741033,144.804551
T20220022835,-37.751517,145.351907
T20220022898,-37.667251,144.954793
T20220024930,-38.147035,145.121878
